0001F	Heart failure assessed
G0320	ESD related svs home undr 2
G0321	ESRDrelatedsvs home mo 2-11y
G0322	ESRD related svs hom mo12-19
G0323	ESRD related svs home mo 20+
G0324	ESRD relate svs home/dy <2yr
G0325	ESRD relate home/day/ 2-11yr
G0326	ESRD relate home/dy 12-19yr
G0327	ESRD relate home/dy 20+yrs
G0328	Fecal blood scrn immunoassay
G0329	Electromagntic tx for ulcers
G0337	Hospice evaluation preelecti
G0339	Robot lin-radsurg com, first
G0340	Robt lin-radsurg fractx 2-5
G0341	Percutaneous islet celltrans
G0342	Laparoscopy islet cell trans
G0343	Laparotomy islet cell transp
G0344	Initial preventive exam
G0364	Bone marrow aspirate &biopsy
G0365	Vessel mapping hemo access
G0365	Vessel mapping hemo access
G0365	Vessel mapping hemo access
G0366	EKG for initial prevent exam
G0367	EKG tracing for initial prev
G0368	EKG interpret & report preve
G0372	MD service required for PMD
G0375	Smoke/tobacco counselng 3-10
G0376	Smoke/tobacco counseling >10
G0378	Hospital observation per hr
G0379	Direct admit hospital observ
G3001	Admin + supply, tositumomab
G9001	MCCD, initial rate
G9002	MCCD,maintenance rate
G9003	MCCD, risk adj hi, initial
G9004	MCCD, risk adj lo, initial
G9005	MCCD, risk adj, maintenance
G9006	MCCD, Home monitoring
G9007	MCCD, sch team conf
G9008	Mccd,phys coor-care ovrsght
G9009	MCCD, risk adj, level 3
G9010	MCCD, risk adj, level 4
G9011	MCCD, risk adj, level 5
G9012	Other Specified Case Mgmt
G9013	ESRD demo bundle level I
G9014	ESRD demo bundle-level II
G9016	Demo-smoking cessation coun
G9017	Amantadine HCL 100mg oral
G9018	Zanamivir,inhalation pwd 10m
G9019	Oseltamivir phosphate 75mg
G9020	Rimantadine HCL 100mg oral
G9021	Chemo assess nausea vomit L1
G9022	Chemo assess nausea vomit L2
G9023	Chemo assess nausea vomit L3
G9024	Chemo assess nausea vomit L4
G9025	Chemo assessment pain level1
G9026	Chemo assessment pain level2
G9027	Chemo assessment pain level3
G9028	Chemo assessment pain level4
G9029	Chemo assess for fatigue L1
G9030	Chemo assess for fatigue L2
G9031	Chemo assess for fatigue L3
G9032	Chemo assess for fatigue L4
G9033	Amantadine HCL oral brand
G9034	Zanamivir, inh pwdr, brand
G9035	Oseltamivir phosp, brand
G9036	Rimantadine HCL, brand
G9041	Low vision rehab occupationa
G9042	Low vision rehab orient/mobi
G9043	Low vision lowvision therapi
G9044	Low vision rehabilate teache
H0001	Alcohol and/or drug assess
H0002	Alcohol and/or drug screenin
H0003	Alcohol and/or drug screenin
H0004	Alcohol and/or drug services
H0005	Alcohol and/or drug services
H0006	Alcohol and/or drug services
H0007	Alcohol and/or drug services
H0008	Alcohol and/or drug services
H0009	Alcohol and/or drug services
H0010	Alcohol and/or drug services
H0011	Alcohol and/or drug services
H0012	Alcohol and/or drug services
H0013	Alcohol and/or drug services
H0014	Alcohol and/or drug services
H0015	Alcohol and/or drug services
H0016	Alcohol and/or drug services
H0017	Alcohol and/or drug services
H0018	Alcohol and/or drug services
H0019	Alcohol and/or drug services
H0020	Alcohol and/or drug services
H0021	Alcohol and/or drug training
H0022	Alcohol and/or drug interven
H0023	Alcohol and/or drug outreach
H0024	Alcohol and/or drug preventi
H0025	Alcohol and/or drug preventi
H0026	Alcohol and/or drug preventi
H0027	Alcohol and/or drug preventi
H0028	Alcohol and/or drug preventi
H0029	Alcohol and/or drug preventi
H0030	Alcohol and/or drug hotline
H0031	MH health assess by non-md
H0032	MH svc plan dev by non-md
H0033	Oral med adm direct observe
H0034	Med trng & support per 15min
H0035	MH partial hosp tx under 24h
H0036	Comm psy face-face per 15min
H0037	Comm psy sup tx pgm per diem
H0038	Self-help/peer svc per 15min
H0039	Asser com tx face-face/15min
H0040	Assert comm tx pgm per diem
H0041	Fos c chld non-ther per diem
H0042	Fos c chld non-ther per mon
H0043	Supported housing, per diem
H0044	Supported housing, per month
H0045	Respite not-in-home per diem
H0046	Mental health service, nos
H0047	Alcohol/drug abuse svc nos
H0048	Spec coll non-blood:a/d test
H1000	Prenatal care atrisk assessm
H1001	Antepartum management
H1002	Carecoordination prenatal
H1003	Prenatal at risk education
H1004	Follow up home visit/prental
H1005	Prenatalcare enhanced srv pk
H1010	Nonmed family planning ed
H1011	Family assessment
H2000	Comp multidisipln evaluation
H2001	Rehabilitation program 1/2 d
H2010	Comprehensive med svc 15 min
H2011	Crisis interven svc, 15 min
H2012	Behav hlth day treat, per hr
H2013	Psych hlth fac svc, per diem
H2014	Skills train and dev, 15 min
H2015	Comp comm supp svc, 15 min
H2016	Comp comm supp svc, per diem
H2017	Psysoc rehab svc, per 15 min
H2018	Psysoc rehab svc, per diem
H2019	Ther behav svc, per 15 min
H2020	Ther behav svc, per diem
H2021	Com wrap-around sv, 15 min
H2022	Com wrap-around sv, per diem
H2023	Supported employ, per 15 min
H2024	Supported employ, per diem
H2025	Supp maint employ, 15 min
H2026	Supp maint employ, per diem
H2027	Psychoed svc, per 15 min
H2028	Sex offend tx svc, 15 min
H2029	Sex offend tx svc, per diem
H2030	MH clubhouse svc, per 15 min
H2031	MH clubhouse svc, per diem
H2032	Activity therapy, per 15 min
H2033	Multisys ther/juvenile 15min
H2034	A/D halfway house, per diem
H2035	A/D tx program, per hour
H2036	A/D tx program, per diem
H2037	Dev delay prev dp ch, 15 min
J0120	Tetracyclin injection
J0128	Abarelix injection
J0130	Abciximab injection
J0132	Acetylcysteine injection
J0133	Acyclovir injection
J0135	Adalimumab injection
J0150	Injection adenosine 6 MG
J0152	Adenosine injection
J0170	Adrenalin epinephrin inject
J0180	Agalsidase beta injection
J0190	Inj biperiden lactate/5 mg
J0200	Alatrofloxacin mesylate
J0205	Alglucerase injection
J0207	Amifostine
J0210	Methyldopate hcl injection
J0215	Alefacept
J0256	Alpha 1 proteinase inhibitor
J0270	Alprostadil for injection
J0275	Alprostadil urethral suppos
J0278	Amikacin sulfate injection
J0280	Aminophyllin 250 MG inj
J0282	Amiodarone HCl
J0285	Amphotericin B
J0287	Amphotericin b lipid complex
J0288	Ampho b cholesteryl sulfate
J0289	Amphotericin b liposome inj
J0290	Ampicillin 500 MG inj
J0295	Ampicillin sodium per 1.5 gm
J0300	Amobarbital 125 MG inj
J0330	Succinycholine chloride inj
J0350	Injection anistreplase 30 u
J0360	Hydralazine hcl injection
J0365	Aprotonin, 10,000 kiu
J0380	Inj metaraminol bitartrate
J0390	Chloroquine injection
J0395	Arbutamine HCl injection
J0456	Azithromycin
J0460	Atropine sulfate injection
J0470	Dimecaprol injection
J0475	Baclofen 10 MG injection
J0476	Baclofen intrathecal trial
J0480	Basiliximab
J0500	Dicyclomine injection
J0515	Inj benztropine mesylate
J0520	Bethanechol chloride inject
J0530	Penicillin g benzathine inj
J0540	Penicillin g benzathine inj
J0550	Penicillin g benzathine inj
J0560	Penicillin g benzathine inj
J0570	Penicillin g benzathine inj
J0580	Penicillin g benzathine inj
J0583	Bivalirudin
J0585	Botulinum toxin a per unit
J0587	Botulinum toxin type B
J0592	Buprenorphine hydrochloride
J0595	Butorphanol tartrate 1 mg
J0600	Edetate calcium disodium inj
J0610	Calcium gluconate injection
J0620	Calcium glycer & lact/10 ML
J0630	Calcitonin salmon injection
J0636	Inj calcitriol per 0.1 mcg
J0637	Caspofungin acetate
J0640	Leucovorin calcium injection
J0670	Inj mepivacaine HCL/10 ml
J0690	Cefazolin sodium injection
J0692	Cefepime HCl for injection
J0694	Cefoxitin sodium injection
J0696	Ceftriaxone sodium injection
J0697	Sterile cefuroxime injection
J0698	Cefotaxime sodium injection
J0702	Betamethasone acet&sod phosp
J0704	Betamethasone sod phosp/4 MG
J0706	Caffeine citrate injection
J0710	Cephapirin sodium injection
J0713	Inj ceftazidime per 500 mg
J0715	Ceftizoxime sodium / 500 MG
J0720	Chloramphenicol sodium injec
J0725	Chorionic gonadotropin/1000u
J0735	Clonidine hydrochloride
J0740	Cidofovir injection
J0743	Cilastatin sodium injection
J0744	Ciprofloxacin iv
J0745	Inj codeine phosphate /30 MG
J0760	Colchicine injection
J0770	Colistimethate sodium inj
J0780	Prochlorperazine injection
J0795	Corticorelin ovine triflutal
J0800	Corticotropin injection
J0835	Inj cosyntropin per 0.25 MG
J0850	Cytomegalovirus imm IV /vial
J0878	Daptomycin injection
J0881	Darbepoetin alfa, non-esrd
J0882	Darbepoetin alfa, esrd use
J0885	Epoetin alfa, non-esrd
J0886	Epoetin alfa, esrd
J0895	Deferoxamine mesylate inj
J0900	Testosterone enanthate inj
J0945	Brompheniramine maleate inj
J0970	Estradiol valerate injection
J1000	Depo-estradiol cypionate inj
J1020	Methylprednisolone 20 MG inj
J1030	Methylprednisolone 40 MG inj
J1040	Methylprednisolone 80 MG inj
J1051	Medroxyprogesterone inj
J1055	Medrxyprogester acetate inj
J1056	MA/EC contraceptiveinjection
J1060	Testosterone cypionate 1 ML
J1070	Testosterone cypionat 100 MG
J1080	Testosterone cypionat 200 MG
J1094	Inj dexamethasone acetate
J1100	Dexamethasone sodium phos
J1110	Inj dihydroergotamine mesylt
J1120	Acetazolamid sodium injectio
J1160	Digoxin injection
J1162	Digoxin immune fab (ovine)
J1165	Phenytoin sodium injection
J1170	Hydromorphone injection
J1180	Dyphylline injection
J1190	Dexrazoxane HCl injection
J1200	Diphenhydramine hcl injectio
J1205	Chlorothiazide sodium inj
J1212	Dimethyl sulfoxide 50% 50 ML
J1230	Methadone injection
J1240	Dimenhydrinate injection
J1245	Dipyridamole injection
J1250	Inj dobutamine HCL/250 mg
J1260	Dolasetron mesylate
J1265	Dopamine injection
J1270	Injection, doxercalciferol
J1320	Amitriptyline injection
J1325	Epoprostenol injection
J1327	Eptifibatide injection
J1330	Ergonovine maleate injection
J1335	Ertapenem injection
J1364	Erythro lactobionate /500 MG
J1380	Estradiol valerate 10 MG inj
J1390	Estradiol valerate 20 MG inj
J1410	Inj estrogen conjugate 25 MG
J1430	Ethanolamine oleate 100 mg
J1435	Injection estrone per 1 MG
J1436	Etidronate disodium inj
J1438	Etanercept injection
J1440	Filgrastim 300 mcg injection
J1441	Filgrastim 480 mcg injection
J1450	Fluconazole
J1451	Fomepizole, 15 mg
J1452	Intraocular Fomivirsen na
J1455	Foscarnet sodium injection
J1457	Gallium nitrate injection
J1460	Gamma globulin 1 CC inj
J1470	Gamma globulin 2 CC inj
J1480	Gamma globulin 3 CC inj
J1490	Gamma globulin 4 CC inj
J1500	Gamma globulin 5 CC inj
J1510	Gamma globulin 6 CC inj
J1520	Gamma globulin 7 CC inj
J1530	Gamma globulin 8 CC inj
J1540	Gamma globulin 9 CC inj
J1550	Gamma globulin 10 CC inj
J1560	Gamma globulin > 10 CC inj
J1565	RSV-ivig
J1566	Immune globulin, powder
J1567	Immune globulin, liquid
J1570	Ganciclovir sodium injection
J1580	Garamycin gentamicin inj
J1590	Gatifloxacin injection
J1595	Injection glatiramer acetate
J1600	Gold sodium thiomaleate inj
J1610	Glucagon hydrochloride/1 MG
J1620	Gonadorelin hydroch/ 100 mcg
J1626	Granisetron HCl injection
J1630	Haloperidol injection
J1631	Haloperidol decanoate inj
J1640	Hemin, 1 mg
J1642	Inj heparin sodium per 10 u
J1644	Inj heparin sodium per 1000u
J1645	Dalteparin sodium
J1650	Inj enoxaparin sodium
J1652	Fondaparinux sodium
J1655	Tinzaparin sodium injection
J1670	Tetanus immune globulin inj
J1675	Histrelin acetate
J1700	Hydrocortisone acetate inj
J1710	Hydrocortisone sodium ph inj
J1720	Hydrocortisone sodium succ i
J1730	Diazoxide injection
J1742	Ibutilide fumarate injection
J1745	Infliximab injection
J1751	Iron dextran 165 injection
J1752	Iron dextran 267 injection
J1756	Iron sucrose injection
J1785	Injection imiglucerase /unit
J1790	Droperidol injection
J1800	Propranolol injection
J1810	Droperidol/fentanyl inj
J1815	Insulin injection
J1817	Insulin for insulin pump use
J1825	Interferon beta-1a
J1830	Interferon beta-1b / .25 MG
J1835	Itraconazole injection
J1840	Kanamycin sulfate 500 MG inj
J1850	Kanamycin sulfate 75 MG inj
J1885	Ketorolac tromethamine inj
J1890	Cephalothin sodium injection
J1931	Laronidase injection
J1940	Furosemide injection
J1945	Lepirudin
J1950	Leuprolide acetate /3.75 MG
J1955	Inj levocarnitine per 1 gm
J1956	Levofloxacin injection
J1960	Levorphanol tartrate inj
J1980	Hyoscyamine sulfate inj
J1990	Chlordiazepoxide injection
J2001	Lidocaine injection
J2010	Lincomycin injection
J2020	Linezolid injection
J2060	Lorazepam injection
J2150	Mannitol injection
J2175	Meperidine hydrochl /100 MG
J2180	Meperidine/promethazine inj
J2185	Meropenem
J2210	Methylergonovin maleate inj
J2250	Inj midazolam hydrochloride
J2260	Inj milrinone lactate / 5 MG
J2270	Morphine sulfate injection
J2271	Morphine so4 injection 100mg
J2275	Morphine sulfate injection
J2278	Ziconotide injection
J2280	Inj, moxifloxacin 100 mg
J2300	Inj nalbuphine hydrochloride
J2310	Inj naloxone hydrochloride
J2320	Nandrolone decanoate 50 MG
J2321	Nandrolone decanoate 100 MG
J2322	Nandrolone decanoate 200 MG
J2325	Nesiritide injection
J2353	Octreotide injection, depot
J2354	Octreotide inj, non-depot
J2355	Oprelvekin injection
J2357	Omalizumab injection
J2360	Orphenadrine injection
J2370	Phenylephrine hcl injection
J2400	Chloroprocaine hcl injection
J2405	Ondansetron hcl injection
J2410	Oxymorphone hcl injection
J2425	Palifermin injection
J2430	Pamidronate disodium /30 MG
J2440	Papaverin hcl injection
J2460	Oxytetracycline injection
J2469	Palonosetron HCl
J2501	Paricalcitol
J2503	Pegaptanib sodium injection
J2504	Pegademase bovine, 25 iu
J2505	Injection, pegfilgrastim 6mg
J2510	Penicillin g procaine inj
J2513	Pentastarch 10% solution
J2515	Pentobarbital sodium inj
J2540	Penicillin g potassium inj
J2543	Piperacillin/tazobactam
J2545	Pentamidine isethionte/300mg
J2550	Promethazine hcl injection
J2560	Phenobarbital sodium inj
J2590	Oxytocin injection
J2597	Inj desmopressin acetate
J2650	Prednisolone acetate inj
J2670	Totazoline hcl injection
J2675	Inj progesterone per 50 MG
J2680	Fluphenazine decanoate 25 MG
J2690	Procainamide hcl injection
J2700	Oxacillin sodium injeciton
J2710	Neostigmine methylslfte inj
J2720	Inj protamine sulfate/10 MG
J2725	Inj protirelin per 250 mcg
J2730	Pralidoxime chloride inj
J2760	Phentolaine mesylate inj
J2765	Metoclopramide hcl injection
J2770	Quinupristin/dalfopristin
J2780	Ranitidine hydrochloride inj
J2783	Rasburicase
J2788	Rho d immune globulin 50 mcg
J2790	Rho d immune globulin inj
J2792	Rho(D) immune globulin h, sd
J2794	Risperidone, long acting
J2795	Ropivacaine HCl injection
J2800	Methocarbamol injection
J2805	Sincalide injection
J2810	Inj theophylline per 40 MG
J2820	Sargramostim injection
J2850	Inj secretin synthetic human
J2910	Aurothioglucose injeciton
J2912	Sodium chloride injection
J2916	Na ferric gluconate complex
J2920	Methylprednisolone injection
J2930	Methylprednisolone injection
J2940	Somatrem injection
J2941	Somatropin injection
J2950	Promazine hcl injection
J2993	Reteplase injection
J2995	Inj streptokinase /250000 IU
J2997	Alteplase recombinant
J3000	Streptomycin injection
J3010	Fentanyl citrate injeciton
J3030	Sumatriptan succinate / 6 MG
J3070	Pentazocine injection
J3100	Tenecteplase injection
J3105	Terbutaline sulfate inj
J3110	Teriparatide injection
J3120	Testosterone enanthate inj
J3130	Testosterone enanthate inj
J3140	Testosterone suspension inj
J3150	Testosteron propionate inj
J3230	Chlorpromazine hcl injection
J3240	Thyrotropin injection
J3246	Tirofiban HCl
J3250	Trimethobenzamide hcl inj
J3260	Tobramycin sulfate injection
J3265	Injection torsemide 10 mg/ml
J3280	Thiethylperazine maleate inj
J3285	Treprostinil injection
J3301	Triamcinolone acetonide inj
J3302	Triamcinolone diacetate inj
J3303	Triamcinolone hexacetonl inj
J3305	Inj trimetrexate glucoronate
J3310	Perphenazine injeciton
J3315	Triptorelin pamoate
J3320	Spectinomycn di-hcl inj
J3350	Urea injection
J3355	Urofollitropin, 75 iu
J3360	Diazepam injection
J3364	Urokinase 5000 IU injection
J3365	Urokinase 250,000 IU inj
J3370	Vancomycin hcl injection
J3396	Verteporfin injection
J3400	Triflupromazine hcl inj
J3410	Hydroxyzine hcl injection
J3411	Thiamine hcl 100 mg
J3415	Pyridoxine hcl 100 mg
J3420	Vitamin b12 injection
J3430	Vitamin k phytonadione inj
J3465	Injection, voriconazole
J3470	Hyaluronidase injection
J3471	Ovine, up to 999 USP units
J3472	Ovine, 1000 USP units
J3475	Inj magnesium sulfate
J3480	Inj potassium chloride
J3485	Zidovudine
J3486	Ziprasidone mesylate
J3487	Zoledronic acid
J3490	Drugs unclassified injection
J3520	Edetate disodium per 150 mg
J3530	Nasal vaccine inhalation
J3535	Metered dose inhaler drug
J3570	Laetrile amygdalin vit B17
J3590	Unclassified biologics
J7030	Normal saline solution infus
J7040	Normal saline solution infus
J7042	5% dextrose/normal saline
J7050	Normal saline solution infus
J7060	5% dextrose/water
J7070	D5w infusion
J7100	Dextran 40 infusion
J7110	Dextran 75 infusion
J7120	Ringers lactate infusion
J7130	Hypertonic saline solution
J7188	Inj Vonwillebrand factor iu
J7189	Factor viia
J7190	Factor viii
J7191	Factor VIII (porcine)
J7192	Factor viii recombinant
J7193	Factor IX non-recombinant
J7194	Factor ix complex
J7195	Factor IX recombinant
J7197	Antithrombin iii injection
J7198	Anti-inhibitor
J7199	Hemophilia clot factor noc
J7300	Intraut copper contraceptive
J7302	Levonorgestrel iu contracept
J7303	Contraceptive vaginal ring
J7304	Contraceptive hormone patch
J7306	Levonorgestrel implant sys
J7308	Aminolevulinic acid hcl top
J7310	Ganciclovir long act implant
J7318	Hyaluron/deriv intra-art inj
J7330	Cultured chondrocytes implnt
J7340	Metabolic active D/E tissue
J7341	Non-human, metabolic tissue
J7342	Metabolically active tissue
J7343	Nonmetabolic act d/e tissue
J7344	Nonmetabolic active tissue
J7350	Injectable human tissue
J7500	Azathioprine oral 50mg
J7501	Azathioprine parenteral
J7502	Cyclosporine oral 100 mg
J7504	Lymphocyte immune globulin
J7505	Monoclonal antibodies
J7506	Prednisone oral
J7507	Tacrolimus oral per 1 MG
J7509	Methylprednisolone oral
J7510	Prednisolone oral per 5 mg
J7511	Antithymocyte globuln rabbit
J7513	Daclizumab, parenteral
J7515	Cyclosporine oral 25 mg
J7516	Cyclosporin parenteral 250mg
J7517	Mycophenolate mofetil oral
J7518	Mycophenolic acid
J7520	Sirolimus, oral
J7525	Tacrolimus injection
J7599	Immunosuppressive drug noc
J7608	Acetylcysteine inh sol u d
J7611	Albuterol concentrated form
J7612	Levalbuterol concentrated
J7613	Albuterol unit dose
J7614	Levalbuterol unit dose
J7620	Albuterol non-compounded
J7622	Beclomethasone inhalatn sol
J7624	Betamethasone inhalation sol
J7626	Budesonide, non-compounded
J7627	Budesonide, compounded
J7628	Bitolterol mes inhal sol con
J7629	Bitolterol mes inh sol u d
J7631	Cromolyn sodium inh sol u d
J7633	Budesonide concentrated sol
J7635	Atropine inhal sol con
J7636	Atropine inhal sol unit dose
J7637	Dexamethasone inhal sol con
J7638	Dexamethasone inhal sol u d
J7639	Dornase alpha inhal sol u d
J7640	Formorterol injection
J7641	Flunisolide, inhalation sol
J7642	Glycopyrrolate inhal sol con
J7643	Glycopyrrolate inhal sol u d
J7644	Ipratropium brom inh sol u d
J7648	Isoetharine hcl inh sol con
J7649	Isoetharine hcl inh sol u d
J7658	Isoproterenolhcl inh sol con
J7659	Isoproterenol hcl inh sol ud
J7668	Metaproterenol inh sol con
J7669	Metaproterenol inh sol u d
J7674	Methacholine chloride, neb
J7680	Terbutaline so4 inh sol con
J7681	Terbutaline so4 inh sol u d
J7682	Tobramycin inhalation sol
J7683	Triamcinolone inh sol con
J7684	Triamcinolone inh sol u d
J7699	Inhalation solution for DME
J7799	Non-inhalation drug for DME
J8498	Antiemetic rectal/supp NOS
J8499	Oral prescrip drug non chemo
J8501	Oral aprepitant
J8510	Oral busulfan
J8515	Cabergoline, oral 0.25mg
J8520	Capecitabine, oral, 150 mg
J8521	Capecitabine, oral, 500 mg
J8530	Cyclophosphamide oral 25 MG
J8540	Oral dexamethasone
J8560	Etoposide oral 50 MG
J8565	Gefitinib oral
J8597	Antiemetic drug oral NOS
J8600	Melphalan oral 2 MG
J8610	Methotrexate oral 2.5 MG
J8700	Temozolomide
J8999	Oral prescription drug chemo
J9000	Doxorubic hcl 10 MG vl chemo
J9001	Doxorubicin hcl liposome inj
J9010	Alemtuzumab injection
J9015	Aldesleukin/single use vial
J9017	Arsenic trioxide
J9020	Asparaginase injection
J9025	Azacitidine injection
J9027	Clofarabine injection
J9031	Bcg live intravesical vac
J9035	Bevacizumab injection
J9040	Bleomycin sulfate injection
J9041	Bortezomib injection
J9045	Carboplatin injection
J9050	Carmus bischl nitro inj
J9055	Cetuximab injection
J9060	Cisplatin 10 MG injection
J9062	Cisplatin 50 MG injection
J9065	Inj cladribine per 1 MG
J9070	Cyclophosphamide 100 MG inj
J9080	Cyclophosphamide 200 MG inj
J9090	Cyclophosphamide 500 MG inj
J9091	Cyclophosphamide 1.0 grm inj
J9092	Cyclophosphamide 2.0 grm inj
J9093	Cyclophosphamide lyophilized
J9094	Cyclophosphamide lyophilized
J9095	Cyclophosphamide lyophilized
J9096	Cyclophosphamide lyophilized
J9097	Cyclophosphamide lyophilized
J9098	Cytarabine liposome
J9100	Cytarabine hcl 100 MG inj
J9110	Cytarabine hcl 500 MG inj
J9120	Dactinomycin actinomycin d
J9130	Dacarbazine 100 mg inj
J9140	Dacarbazine 200 MG inj
J9150	Daunorubicin
J9151	Daunorubicin citrate liposom
J9160	Denileukin diftitox, 300 mcg
J9165	Diethylstilbestrol injection
J9170	Docetaxel
J9175	Elliotts b solution per ml
J9178	Inj, epirubicin hcl, 2 mg
J9181	Etoposide 10 MG inj
J9182	Etoposide 100 MG inj
J9185	Fludarabine phosphate inj
J9190	Fluorouracil injection
J9200	Floxuridine injection
J9201	Gemcitabine HCl
J9202	Goserelin acetate implant
J9206	Irinotecan injection
J9208	Ifosfomide injection
J9209	Mesna injection
J9211	Idarubicin hcl injection
J9212	Interferon alfacon-1
J9213	Interferon alfa-2a inj
J9214	Interferon alfa-2b inj
J9215	Interferon alfa-n3 inj
J9216	Interferon gamma 1-b inj
J9217	Leuprolide acetate suspnsion
J9218	Leuprolide acetate injeciton
J9219	Leuprolide acetate implant
J9225	Histrelin implant
J9230	Mechlorethamine hcl inj
J9245	Inj melphalan hydrochl 50 MG
J9250	Methotrexate sodium inj
J9260	Methotrexate sodium inj
J9263	Oxaliplatin
J9264	Paclitaxel injection
J9265	Paclitaxel injection
J9266	Pegaspargase/singl dose vial
J9268	Pentostatin injection
J9270	Plicamycin (mithramycin) inj
J9280	Mitomycin 5 MG inj
J9290	Mitomycin 20 MG inj
J9291	Mitomycin 40 MG inj
J9293	Mitoxantrone hydrochl / 5 MG
J9300	Gemtuzumab ozogamicin
J9305	Pemetrexed injection
J9310	Rituximab cancer treatment
J9320	Streptozocin injection
J9340	Thiotepa injection
J9350	Topotecan
J9355	Trastuzumab
J9357	Valrubicin, 200 mg
J9360	Vinblastine sulfate inj
J9370	Vincristine sulfate 1 MG inj
J9375	Vincristine sulfate 2 MG inj
J9380	Vincristine sulfate 5 MG inj
J9390	Vinorelbine tartrate/10 mg
J9395	Injection, Fulvestrant
J9600	Porfimer sodium
J9999	Chemotherapy drug
M0064	Visit for drug monitoring
M0075	Cellular therapy
M0076	Prolotherapy
M0100	Intragastric hypothermia
M0300	IV chelationtherapy
M0301	Fabric wrapping of aneurysm
P2028	Cephalin floculation test
P2029	Congo red blood test
P2031	Hair analysis
P2033	Blood thymol turbidity
P2038	Blood mucoprotein
P3000	Screen pap by tech w md supv
P3001	Screening pap smear by phys
P7001	Culture bacterial urine
P9010	Whole blood for transfusion
P9011	Blood split unit
P9012	Cryoprecipitate each unit
P9016	RBC leukocytes reduced
P9017	Plasma 1 donor frz w/in 8 hr
P9019	Platelets, each unit
P9020	Plaelet rich plasma unit
P9021	Red blood cells unit
P9022	Washed red blood cells unit
P9023	Frozen plasma, pooled, sd
P9031	Platelets leukocytes reduced
P9032	Platelets, irradiated
P9033	Platelets leukoreduced irrad
P9034	Platelets, pheresis
P9035	Platelet pheres leukoreduced
P9036	Platelet pheresis irradiated
P9037	Plate pheres leukoredu irrad
P9038	RBC irradiated
P9039	RBC deglycerolized
P9040	RBC leukoreduced irradiated
P9041	Albumin (human),5%, 50ml
P9043	Plasma protein fract,5%,50ml
P9044	Cryoprecipitatereducedplasma
P9045	Albumin (human), 5%, 250 ml
P9046	Albumin (human), 25%, 20 ml
P9047	Albumin (human), 25%, 50ml
P9048	Plasmaprotein fract,5%,250ml
P9050	Granulocytes, pheresis unit
P9051	Blood, l/r, cmv-neg
P9052	Platelets, hla-m, l/r, unit
P9053	Plt, pher, l/r cmv-neg, irr
P9054	Blood, l/r, froz/degly/wash
P9055	Plt, aph/pher, l/r, cmv-neg
P9056	Blood, l/r, irradiated
P9057	RBC, frz/deg/wsh, l/r, irrad
P9058	RBC, l/r, cmv-neg, irrad
P9059	Plasma, frz between 8-24hour
P9060	Fr frz plasma donor retested
P9603	One-way allow prorated miles
P9604	One-way allow prorated trip
P9612	Catheterize for urine spec
P9615	Urine specimen collect mult
Q0035	Cardiokymography
Q0035	Cardiokymography
Q0035	Cardiokymography
Q0091	Obtaining screen pap smear
Q0092	Set up port xray equipment
Q0111	Wet mounts/ w preparations
Q0112	Potassium hydroxide preps
Q0113	Pinworm examinations
Q0114	Fern test
Q0115	Post-coital mucous exam
Q0144	Azithromycin dihydrate, oral
Q0163	Diphenhydramine HCl 50mg
Q0164	Prochlorperazine maleate 5mg
Q0165	Prochlorperazine maleate10mg
Q0166	Granisetron HCl 1 mg oral
Q0167	Dronabinol 2.5mg oral
Q0168	Dronabinol 5mg oral
Q0169	Promethazine HCl 12.5mg oral
Q0170	Promethazine HCl 25 mg oral
Q0171	Chlorpromazine HCl 10mg oral
Q0172	Chlorpromazine HCl 25mg oral
Q0173	Trimethobenzamide HCl 250mg
Q0174	Thiethylperazine maleate10mg
Q0175	Perphenazine 4mg oral
Q0176	Perphenazine 8mg oral
Q0177	Hydroxyzine pamoate 25mg
Q0178	Hydroxyzine pamoate 50mg
Q0179	Ondansetron HCl 8mg oral
Q0180	Dolasetron mesylate oral
Q0181	Unspecified oral anti-emetic
Q0480	Driver pneumatic vad, rep
Q0481	Microprcsr cu elec vad, rep
Q0482	Microprcsr cu combo vad, rep
Q0483	Monitor elec vad, rep
Q0484	Monitor elec or comb vad rep
Q0485	Monitor cable elec vad, rep
Q0486	Mon cable elec/pneum vad rep
Q0487	Leads any type vad, rep only
Q0488	Pwr pack base elec vad, rep
Q0489	Pwr pck base combo vad, rep
Q0490	Emr pwr source elec vad, rep
Q0491	Emr pwr source combo vad rep
Q0492	Emr pwr cbl elec vad, rep
Q0493	Emr pwr cbl combo vad, rep
Q0494	Emr hd pmp elec/combo, rep
Q0495	Charger elec/combo vad, rep
Q0496	Battery elec/combo vad, rep
Q0497	Bat clps elec/comb vad, rep
Q0498	Holster elec/combo vad, rep
Q0499	Belt/vest elec/combo vad rep
Q0500	Filters elec/combo vad, rep
Q0501	Shwr cov elec/combo vad, rep
Q0502	Mobility cart pneum vad, rep
Q0503	Battery pneum vad replacemnt
Q0504	Pwr adpt pneum vad, rep veh
Q0505	Miscl supply/accessory vad
Q0510	Dispens fee immunosupressive
Q0511	Sup fee antiem,antica,immuno
Q0512	Px sup fee anti-can sub pres
Q0513	Disp fee inhal drugs/30 days
Q0514	Disp fee inhal drugs/90 days
Q0515	Sermorelin acetate injection
Q1003	Ntiol category 3
